epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2300.04,2.03754,2.31841,1.47893,0.44565,0.27201,0.25945,0.14786,1.48074,1.36311,1.1472,0.00030219,0.00030219,0.00030219
2,4553.62,1.45214,1.31075,1.13539,0.57525,0.35227,0.37275,0.21352,1.3486,1.12718,1.08513,0.000485362,0.000485362,0.000485362
3,6796.8,1.34081,1.12657,1.08656,0.69216,0.37004,0.43565,0.2588,1.27968,1.00638,1.06399,0.000548547,0.000548547,0.000548547
4,9079.8,1.28185,1.02639,1.06171,0.62272,0.43691,0.47679,0.28869,1.20493,0.94199,1.02176,0.000369054,0.000369054,0.000369054
5,11347.4,1.2274,0.94762,1.04206,0.67241,0.46774,0.50985,0.30673,1.17501,0.89935,1.01681,0.000189072,0.000189072,0.000189072
